MalGEN_ID	External_ID	Date_of_Collection	Location	Country	Study	Sex_call
VBS55188	EA18-0333	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55189	EA18-0334	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55190	EA18-0335	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55191	EA18-0336	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55192	EA18-0337	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55193	EA18-0338	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55194	EA18-0339	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55195	EA18-0340	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55196	EA18-0341	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55197	EA18-0342	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55198	EA18-0343	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55199	EA18-0344	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55200	EA18-0345	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55201	EA18-0347	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55202	EA18-0348	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55203	EA18-0349	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55204	EA18-0350	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55205	EA18-0351	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55206	EA18-0352	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55207	EA18-0353	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55208	EA18-0354	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55209	EA18-0355	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55210	EA18-0356	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55211	EA18-0357	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
VBS55212	EA18-0358	2018-08-25T00:00:00Z	Moshi	Tanzania	1246:VO-TZ-KABULA-VMF00185	F
